化学成分,波动率,聚类结果是否保持不变
二氧化硅,-1%,TRUE
二氧化硅,-2%,FALSE
二氧化硅,-5%,FALSE
氧化铝,50%,TRUE
氧化铝,500%,TRUE
氧化铝,1000%,TRUE
氧化钙,50%,TRUE
氧化钙,300%,TRUE
氧化钙,500%,FALSE
氧化钙,700%,FALSE
