化学成分,波动率,聚类结果是否保持不变
二氧化硅,-2%,TRUE
二氧化硅,-5%,TRUE
二氧化硅,-10%,FALSE
二氧化硅,-15%,FALSE
五氧化二磷,100%,TRUE
五氧化二磷,500%,TRUE
五氧化二磷,1000%,TRUE
五氧化二磷,1600%,FALSE
五氧化二磷,1700%,FALSE
氧化铝,-10%,TRUE
氧化铝,-50%,TRUE
氧化铝,-90%,TRUE
